file,business_rule
cli.py,The '--all-methods' option in the 'routes' command shows HEAD and OPTIONS methods.
cli.py,The '--exclude-patterns' option in the 'run' command specifies files that will not trigger a reload on change.
cli.py,The '--extra-files' option in the 'run' command specifies extra files that trigger a reload on change.
app.py,The application must have a 'static_folder' set to serve static files.
app.py,The 'static_host' must be set when 'host_matching' is true.
app.py,"The 'mode' parameter for opening resources must be either 'r', 'rt', or 'rb'."
app.py,The 'max_age' for sending files defaults to 'SEND_FILE_MAX_AGE_DEFAULT' from the configuration.
app.py,"If 'SEND_FILE_MAX_AGE_DEFAULT' is None, the browser will use conditional requests instead of a timed cache."
app.py,"The application must return a valid response from view functions, which cannot be None."
app.py,"If the view function returns a tuple, it must have either two or three elements."
app.py,The application will log exceptions if 'PROPAGATE_EXCEPTIONS' is False.
app.py,The application will raise a 'BadRequestKeyError' in debug mode if a key is missing from request data.
app.py,The application will send a 'got_request_exception' signal whenever an exception occurs.
app.py,The application will call all registered teardown functions after a request is processed.
app.py,The application will not allow the return value from a view function to be None.
app.py,The application will use 'TEMPLATES_AUTO_RELOAD' configuration to set the auto-reload behavior for Jinja templates.
app.py,The application will use 'SERVER_NAME' to determine the host for URL generation when not in an active request.
app.py,The application will raise a 'RuntimeError' if 'SERVER_NAME' is not configured when generating URLs outside an active request.
app.py,The application will call 'process_response' to modify the response object before sending it to the WSGI server.
app.py,The application will call 'make_response' to convert the return value from a view function into a response object.
ctx.py,The 'after_this_request' function can only be used when a request context is active.
ctx.py,The 'copy_current_request_context' function can only be used when a request context is active.
ctx.py,The 'has_request_context' function returns true if an app context is active and has request information.
ctx.py,The 'has_app_context' function returns true if an app context is active.
ctx.py,The 'request' property raises a RuntimeError if there is no request in the current context.
ctx.py,The 'session' property raises a RuntimeError if there is no request in the current context.
ctx.py,The 'push' method triggers routing matching only if the context is not currently pushed.
ctx.py,The 'pop' method raises a RuntimeError if the context is not the active context.
ctx.py,The 'pop' method will only trigger cleanup once the context has been popped as many times as it was pushed.
testing.py,The EnvironBuilder cannot accept both 'base_url' and 'subdomain' or 'url_scheme' at the same time.
testing.py,"If 'base_url' is not provided, it is constructed using the application's 'SERVER_NAME' and 'APPLICATION_ROOT'."
testing.py,"The FlaskClient's session_transaction method requires cookies to be enabled, otherwise it raises a TypeError."
testing.py,"If the session backend does not open a session, the session_transaction method raises a RuntimeError."
testing.py,The FlaskCliRunner's invoke method automatically passes a ScriptInfo object if 'obj' is not provided in kwargs.
