Area,Ground Truth
Menu Item Types,"Menu items can link to: a specific vendor's page (Vendor), a selected topic page (Topic/page), a manually specified URL (Custom link), or display non-clickable text with no link (Text without link) — useful for parent-level header items."
Footer Menu Nesting,"For menus with the Footer type, the 'Parent menu item' property is unavailable because footer navigation supports only a single level with no nesting."
Grid/List Template Options,"For menu items that use a grid or list template (e.g., displaying all categories), the following options are available: Number of elements per row (grid) — sets the maximum items per row; Number of subcategories per category item (grid) — sets the maximum sub-category links displayed within each grid tile."
Navigation,"To add a new product, navigate to Catalog → Products and click the 'Add new' button in the top right corner."
Navigation,The Add a New Product page is available in two modes: Advanced (default) and Basic. Basic mode shows only required fields. The fields shown in Basic mode are configurable via the Settings button.
Product Info,A product must have a Name entered before it can be saved.
Product Info,A product can be assigned to multiple categories simultaneously. Categories are managed at Catalog → Categories.
Product Info,A product can be assigned to multiple manufacturers simultaneously. Manufacturers are managed at Catalog → Manufacturers.
Product Info,The 'Published' checkbox must be selected for a product to be visible in the public store.
Product Info,"Product tags are entered as comma-separated keywords. The more products associated with a tag, the larger it appears in the Popular Tags cloud on the catalog sidebar."
Product Info,"GTIN must conform to a recognized global trade item number standard: UPC (North America), EAN (Europe), JAN (Japan), or ISBN (Books)."
Product Info,"Required product IDs must be entered separated by commas, and there must be no circular references (e.g., Product A requires B, and B requires A is not allowed)."
Product Info,The Admin Comment field is for internal use only and is never visible to customers.
Product Type,A product must be one of two types: Simple Product or Grouped Product (product with variants).
Product Type,"Simple products can optionally be marked as Rental products, which requires specifying a rental period (e.g., hours, days, weeks, months)."
Product Type,"Selecting 'Visible individually' makes the product appear in catalog and search results. If unchecked, the product is hidden from the catalog and is only accessible from a grouped product's details page."
Pricing,"If Old Price is set to a value greater than zero, it becomes visible in the public store alongside the current price for comparison."
Pricing,Product Cost is for internal use only and is never displayed to customers.
Pricing,"When 'Customer enters price' is enabled, a Minimum Amount and Maximum Amount must be defined for the price range the customer can enter."
Pricing,"When 'Available for pre-order' is enabled, a Pre-order availability start date field is displayed. The Pre-order button changes to Add to Cart when this date is reached."
Pricing,"PAngV (base price) is required by German law. For example, if selling 500mL of beer for €1.50, the base price of €3.00 per 1L must also be displayed."
Tax,A product must be either marked as 'Tax Exempt' or assigned to a Tax Category. Tax categories are managed under Configuration → Tax → Tax Categories.
Shipping,"If 'Shipping Enabled' is selected, the product's Weight, Length, Width, and Height must be provided for shipping cost calculation. Measures are configured at Configuration → Shipping → Measures."
Shipping,"If 'Ship Separately' is enabled, every unit of the product in an order is shipped in its own separate box."
Inventory,"A product must use one of three inventory methods: 'Don't Track Inventory', 'Track Inventory', or 'Track Inventory by Product Attributes'."
Inventory,Stock Quantity is reduced automatically whenever an order is shipped.
Inventory,"A Minimum Cart Quantity can be set to enforce a minimum number of units a customer must purchase (e.g., minimum of 3). A Maximum Cart Quantity can be set to limit how many units a customer can purchase at once."
Inventory,"If 'Allowed Quantities' is specified as a comma-separated list, customers can only purchase the product in exactly those quantities, presented as a dropdown instead of a free-entry quantity field."
Inventory,The 'Display Stock Quantity' checkbox is only available when the 'Display Availability' checkbox is also selected.
Inventory,"When using 'Track Inventory by Product Attributes', multiple warehouse management is not supported for that product."
Pictures,"Multiple product images can be uploaded at once. Each image requires an Alt text, Title text, and Display Order. If Alt or Title text is empty, the system uses a default rule (e.g., the product name)."
Pictures,"To upload images in SVG format, a specific setting must first be activated in the store configuration."
Product Attributes,Attribute value type can be 'Simple' or 'Associated to Product'. The 'Associated to Product' type links the attribute value to another catalog product and also tracks that product's stock separately.
Product Attributes,"When an attribute value is 'Associated to Product', the administrator must select the associated product and verify there are no warnings before saving."
Product Attributes,"When 'Customer enters quantity' is disabled for an 'Associated to Product' value, a fixed Product Quantity must be specified. The minimum allowed value is 1."
Attribute Combinations,An Overridden Price set on an attribute combination replaces the base product price entirely. All other attribute-level price adjustments are ignored when an overridden price is specified.
Attribute Combinations,A picture associated with an attribute combination replaces the main product image when the customer selects that combination.
Specification Attributes,"Specification attributes are for informational display only and cannot affect pricing or purchasing behavior, unlike product attributes."
Required Products,Gift card products cannot be automatically added to the cart as required products because they have mandatory built-in attributes (recipient information) that must be filled in manually.
Gift Cards,A product marked as a Gift Card must have its type specified as either 'Physical' or 'Virtual'.
Import / Export,Products can be imported from Excel only. Products can be exported to XML or Excel. The export scope can be 'all found' or 'selected' products. The catalog can also be downloaded as PDF.
Navigation,The Bulk Edit Products page is accessed via Catalog → Products → Bulk Edit Products. It was introduced as a native feature in nopCommerce 4.80; prior versions required a third-party plugin.
Search & Filtering,"Before editing, products can be filtered by: Category, Manufacturer, Vendor, Warehouse, Product Type, and Publication Status."
Editable Fields,"The following fields are editable inline in the bulk edit grid: Product Name, SKU, Price, Old Price, Stock Quantity, and Published status."
Read-Only Fields,The Manage Inventory Method field is displayed in the bulk edit grid as read-only and cannot be changed via bulk edit.
Saving Changes,"Bulk save (selected)' applies changes only to products checked in the grid. 'Bulk save (all)' applies changes to all products currently visible in the grid, regardless of selection."
Saving Changes,"Changes made in the bulk edit grid are not persisted to the database until one of the save buttons is explicitly clicked. When saved, the product's UpdatedOnUtc timestamp is automatically set to the current UTC time."
Concurrency,"If stock quantities change (e.g., due to customer orders) while the bulk edit page is open, saving will overwrite the current database value with the stale value from when the page was loaded, potentially causing incorrect stock levels."
Scope Limitations,"Only a limited subset of product fields is editable via bulk edit. Fields such as full description, images, shipping parameters, tax settings, product attributes, and SEO fields require individual product pages or Excel import/export."
Access Control,"In nopCommerce 4.80+, access to the Bulk Edit Products page is governed by ACL. Granular permissions allow separate control over viewing, editing, and deleting products independently."
Navigation,"Product attributes are defined globally at Catalog → Attributes → Product Attributes before being applied to individual products. By default, no product attributes are pre-created."
Attribute Definition,"When creating a new product attribute, the Name field is required. The Description field is optional. After saving, the administrator must click 'Save and continue edit' to proceed to the Predefined Values panel."
Attribute Definition,Predefined attribute values are optional at the time of attribute creation; values can be added later when applying the attribute to a specific product.
Predefined Values,Adding or updating Predefined Values does NOT retroactively affect products that already have that attribute applied to them.
Predefined Values,"Each predefined attribute value supports: Name, Price Adjustment (fixed or percentage), Weight Adjustment, Cost, Is Pre-selected, and Display Order."
Predefined Values,The Cost field represents either the purchase price from third-party suppliers or the combined cost of materials and in-house manufacturing. It is not displayed to customers.
Applying Attributes to Products,"When applying an attribute to a product, the Control Type determines how it is presented to customers. Available types: Drop-down List, Radio Button List, Checkbox, Text Box, Multiline Text Box, Date Picker, File Upload, and Color Squares."
Applying Attributes to Products,"Drop-down lists, radio button lists, checkboxes, and color squares require the administrator to define specific values. Text boxes, multiline text boxes, date pickers, and file upload controls do not require predefined values."
Applying Attributes to Products,"For the Text Box control type, validation rules can be specified: Minimum Length, Maximum Length, and Default Value. For File Upload, Allowed File Extensions and Maximum File Size (KB) can be specified."
Applying Attributes to Products,"For the Date Picker control type, the number of years displayed is configured via the 'catalogsettings.countdisplayedyearsdatepicker' parameter. Setting it to zero displays only the current year."
Applying Attributes to Products,"If 'Is Required' is set for an attribute, customers must select a value for it before they can add the product to the cart."
Conditional Attributes,An attribute can have a condition that makes it visible only when a specific value of a previously defined attribute has been selected by the customer.
Conditional Attributes,Conditions show or hide an entire attribute — they do not filter individual values within an attribute. Cascading dropdowns are not supported out of the box. Only one condition (a single attribute + value pair) can be set per attribute.
Attribute Combinations,"Each attribute combination can have its own: SKU, Manufacturer Part Number, GTIN, Stock Quantity, Overridden Price, Notify Admin for Quantity Below threshold, Allow Out of Stock flag, and associated Picture."
Attribute Combinations,The combination's SKU is shown in the shopping cart when that combination is selected (if 'Show SKU' is enabled in Catalog Settings). It does not appear on the product details page itself.
Attribute Combinations,"Control types that accept free-form customer input (File Upload, Text Box, Date Picker) are incompatible with attribute combinations and should not be used when combinations are required."
Attribute Combinations,Allow only existing attribute combinations' is only visible when the inventory method is 'Track inventory by product attributes'. It restricts customers from adding combinations that don't exist or have zero stock. Invalid combinations remain visible on the product page but produce an 'Out of Stock' message when added to cart.
Pricing Integration,"Tier pricing is not supported at the attribute combination level out of the box. Overridden prices on combinations can be used as a workaround, but they apply a flat price rather than quantity-based tiers."
Purpose and Limitations,"Specification attributes are informational only — they are visible on the product details page and can be used for filtering on category pages, but they do not define product price and cannot be used for inventory tracking."
Navigation,"Specification attributes are defined globally at Catalog → Attributes → Specification Attributes. By default, no specification attributes are pre-created. They must be added to each product individually after creation."
Attribute Definition,"A specification attribute requires a Name and a Display Order. After saving, 'Save and continue edit' is needed to access the Options panel where attribute options are defined."
Attribute Options,"Each specification attribute option requires a Name, a Display Order, and optionally an RGB color. If 'Specify color' is selected, the color swatch is shown to customers instead of the text option name."
Grouping,Specification attributes can be organized into named groups with a Display Order. Attributes not assigned to any group fall into a default 'non-grouped' state.
Applying to Products,"When adding a specification attribute to a product, the following fields are configured: Attribute Type, Attribute, Attribute Option, Allow Filtering, Show on Product Page, and Display Order."
Applying to Products,The 'Show on product page' field must be selected for the specification attribute table to be visible on the product details page in the public store.
Filtering,The 'Allow filtering' field must be selected on a per-product basis to enable customers to filter by that specification attribute on category pages. The 'Enable specification attribute filtering' setting in Catalog Settings must also be active globally.
Compare Products,The 'Compare products' feature uses specification attributes to display side-by-side product comparisons. It must be enabled at Configuration → Settings → Catalog Settings → Compare products panel.
Used By Products,The 'Used by products' panel on a specification attribute shows all products that currently have that attribute applied.
Setup,"To make a product downloadable, the 'Is download' checkbox must be selected on the product edit page. The download file can be uploaded directly or provided as an external download URL."
Setup,"Since downloadable products require no physical shipping, the 'Shipping enabled' checkbox must be left unchecked in the Shipping panel."
Download Limits,"Downloads can be set to unlimited, or restricted by a Maximum Number of Downloads and/or a Number of Days during which the customer retains access."
Download Activation,Download activation type must be one of two options: 'When Order Is Paid' (automatic upon payment) or 'Manually' (administrator must activate the download manually from the order details page).
User Agreement,"If 'Has user agreement' is enabled, the customer must accept the agreement text before they are permitted to download the product."
Sample Download,"A sample download file can be provided (via upload or URL). Sample files are freely downloadable by any customer without purchase, and are shown as a 'Download sample' button on the product details page."
Customer Access,"After purchase, customers access their downloadable products from the 'My account' section. The download link becomes visible once the download is activated (automatically or manually)."
Customer Access,The 'Downloadable products' tab on the 'My account' page can be hidden from customers using the 'Hide Downloadable products tab' setting in Configuration → Settings → Customer Settings.
Setup,"To create a grouped product: first create the simple products (variants), then create a parent product with type set to 'Grouped (product with variants)', and assign the simple products in the Associated Products panel."
Setup,A simple product can only be associated with one grouped product at a time.
Setup,Grouped products are not orderable directly. Customers must order one of the associated simple products. Each associated product has its own Add to Cart button on the grouped product details page.
Visibility,"For each associated simple product, the 'Visible individually' checkbox controls whether it also appears independently in catalog and search results, or only on the grouped product's page."
Setup,"Any product can be made recurring by enabling the recurring option and configuring: Cycle Length (numeric interval), Cycle Period (Days, Weeks, Months, or Years), and Total Cycles (number of recurrences)."
Payment Behavior,"For recurring products, the system automatically creates subsequent orders using the payment details of the initial order. The original shipping charges also apply to subsequent orders."
Payment Behavior,"Automatic recurring order processing requires the active payment method to support automatic recurring payments (e.g., PayPal Direct). Without this support, recurring orders must be processed manually."
Setup,A rental product is created by starting with a standard Simple product and checking the 'Is rental' checkbox in the Rental panel.
Rental Period,"A rental product requires a Rental Period Length (the minimum billing period) and a Rental Period unit (Days, Weeks, Months, or Years). The product price is specified for this period."
Customer Interaction,"When purchasing a rental product, customers must specify the rental start date and end date in the public store. The total rental price updates accordingly based on the period selected."
Customer Interaction,"Checkout attributes can be used to allow customers to specify a return time (e.g., for a carrier pickup), complementing the rental end date."
Export,Products can be exported to XML (all found or selected) or Excel (all found or selected) from Catalog → Products. The catalog can also be downloaded as PDF.
Export,"The exported file contains all product characteristics from the product editing page panels (Product info, SEO, Pictures, etc.). When product attributes are used, the exported Excel table is grouped by rows."
Import,"Import is supported from Excel format only. Before importing, the official template must be downloaded from the export function to ensure correct column naming."
Import,Column names in the import file must exactly match the template column names. Column names are case-sensitive. Not all fields are mandatory — a product will be created from whichever fields are populated.
Import,"Products during import are matched by SKU. If the SKU already exists in the store, the corresponding product is updated. If it does not exist, a new product is created."
Import,"A product deleted in nopCommerce is only marked as deleted in the database, not physically removed. Importing a file with the same SKU as a deleted product will not restore it — the import will succeed but no product will appear."
Import,Import is memory-intensive. It is not recommended to import more than 500–1000 records at once. Larger datasets should be split into multiple files.
Import,"The Categories and Manufacturers columns can reference objects by their ID or by name. When using names, the full category hierarchy is specified using '>>' as a separator (e.g., 'Computers >> Desktops'). Category and manufacturer name matching is case-sensitive."
Import,"Importing products with images hosted on external URLs is disabled by default for security. It can be enabled via the 'Export/import products. Allow download images' setting in Catalog Settings. URLs must contain only Latin characters; special characters (e.g., ^ or ~) should be avoided."
Import,The 'Export/import products. Allow splitting file' setting enables automatic splitting of large import files into optimal-size chunks to reduce import delays.
Settings Dependencies,Product attributes and specification attributes are only included in import/export when the corresponding settings ('Export/import products with attributes' and 'Export/import products with specification attributes') are enabled in Catalog Settings.
Settings Dependencies,"When two or more store languages are configured, Excel/XML import and export supports multilingual product data."
Management,Product tags are managed at Catalog → Product Tags. The list shows each tag's name and the number of products associated with it. Tags can be edited or deleted (individually or in bulk) from this page.
Management,"Tags are added to a product on the product edit page by entering keywords separated by commas. Once a tag is created, it can be reused across other products."
Display,"The more products associated with a tag, the larger that tag appears in the Popular Tags cloud displayed in the catalog sidebar. The number of tags shown in the cloud is controlled by the 'Number of product tags (cloud)' setting in Catalog Settings."
Display,"Customers can browse all products associated with a tag via the 'Products by tag' page. The page size for this page can be configured by the store owner, and optionally customers can be allowed to change it."
Approval,"By default, product reviews must be approved by the store owner before they appear in the public store. This requirement can be removed by clearing the 'Product reviews must be approved' option in Configuration → Settings → Catalog Settings."
Approval,Reviews can be approved or disapproved in bulk by selecting them and clicking 'Approve selected' or 'Disapprove selected' from Catalog → Product Reviews.
Review Settings,The 'One review per product from customer' setting restricts each customer to a single review per product.
Review Settings,The 'Product review possible only after product purchasing' setting restricts the ability to leave a review to customers who have actually ordered that product.
Review Settings,Anonymous users can be allowed or blocked from writing reviews via the 'Allow anonymous users to write product reviews' setting in Catalog Settings.
Helpfulness,"After a review is approved and published, other customers can vote on whether it was helpful by clicking Yes or No. This helpfulness voting is visible in the public store."
Review Types,"Custom review types can be created to allow customers to rate multiple specific aspects of a product (e.g., quality, value, shipping). If a review type is marked as 'Required', the customer must provide a rating for it before submitting."
Review Types,Rating values in the review types panel cannot be edited by the administrator — no columns in the review types table are editable.
Notifications,The store owner can be notified of new product reviews via the 'Notify about new product reviews' setting. Customers can be notified of replies to their reviews via 'Notify customer about product review reply'.
Multi-Store,The 'Reviews per store' setting controls whether customers see only reviews written in the current store or reviews from all stores on a product's details page.
Per-Product Control,Customer reviews can be enabled or disabled on a per-product basis using the 'Allow customer reviews' checkbox on the product edit page. There is no global on/off toggle for reviews across all products.
Navigation,"To view and manage orders, navigate to Sales → Orders. The orders page lists all current orders, and a new order appears after a customer completes a transaction."
Search & Filtering,"Orders can be searched and filtered by Start date, End date, Warehouse, Order status (All, Pending, Processing, Complete, Cancelled), Payment status, Store, Vendor, Billing phone number, Billing email address, Billing last name, Billing country, Payment method, and Order notes."
Search & Filtering,"To go directly to a specific order, enter the order number in the 'Go directly to order #' field and click Go."
Export & Import,Orders can be exported to XML or Excel (all found or selected) by clicking the Export button at the top of the orders page.
Export & Import,"Orders can be imported from Excel using the Import button. Imported orders are distinguished by order GUID; if a GUID already exists, its details will be updated. It is not recommended to import more than 500–1,000 records at once due to memory resource requirements."
Order Details,"To view full order information, click View beside the order in the list. From the order details page, a store owner can generate a PDF invoice, delete the order, or view order info including Order #, creation date/time, and the customer who placed the order."
Order Settings - Checkout,"To define order settings, navigate to Configuration → Settings → Order settings. Settings support multi-store configuration, meaning different values can be set per store."
Order Settings - Checkout,The 'Checkout disabled' setting disables the entire checkout process. 'Anonymous checkout allowed' permits customers to purchase without registering or logging in.
Order Settings - Checkout,Use one page checkout' consolidates the checkout process into a single webpage. 'Order totals on payment info tab' displays a product list and totals in the payment info tab during one-page checkout.
Order Settings - Checkout,Store owners can require customers to accept the Terms of Service before processing an order — either on the shopping cart page or on the confirm order page.
Order Settings - Checkout,The 'Disable Billing address step during checkout' setting pre-fills billing address from default registration data. This cannot be used with guest checkout. Ensure address fields that cannot be pre-filled are not required in Configuration → Settings → Customer settings.
Order Settings - Checkout,"Disable Order completed page' automatically redirects customers to the order details page after an order is placed, instead of showing the order completed page."
Order Settings - Order Totals,A minimum order sub-total amount can be set; orders below this amount will not be issued. Tax can optionally be included when validating this minimum.
Order Settings - Order Totals,A minimum order total amount can be set; orders below this amount will not be issued. 'Auto update order totals' (currently BETA) automatically recalculates order totals when editing an order in the admin area.
Order Settings - Common,The Order ID counter can be set to a custom starting number; this only affects orders created after the change and must be greater than the current maximum order ID.
Order Settings - Common,"A custom order number mask can be defined (e.g., using {YYYY} to prefix orders with the creation year). 'Is re-order allowed' enables customers to re-order, automatically adding all items from a previous order to the cart."
Order Settings - Common,Complete order when delivered' sets order status to Complete only when shipping status is Delivered.
Navigation,"Shipments are managed from within the order details page, accessible via Sales → Orders. Each shipment can have a tracking number set, an admin comment added, and the total shipment weight viewed."
Shipment Actions,"From the shipment details page, a store owner can mark the shipment as Shipped, edit the Date shipped, mark it as Delivered, edit the Date delivered, print a packaging slip, or delete the shipment."
Pick Up In Store,"If a customer selected 'Pick up in store' during checkout, the shipment can be marked as 'Ready for pickup' instead of shipped."
Navigation,"To view and edit return requests, navigate to Sales → Return requests. All submitted return requests are displayed in a list, and clicking Edit opens the return request details window."
Eligibility,Return requests are only available for completed orders. A customer cannot submit a return request for orders that are not in a completed status.
